,tweet,label
22,you can compare messi and ronaldo and cut your lungs out what i wont take is coming with that smelly dirty disgusting nigerian mouth to say messi no good na make him leave barca or ronaldo no sabi na he doesnt have balon dor yenyen just argue and dont say shit,negative
23,just when i thought was a noshow for me my dream to chop life this december can now be a reality thanks to with the gt plus jolly fest chop life december is assured and for shikele money sef just check out the awesome packages in the combo,negative
24,salami don send hin yearly vn again e burst my head,negative
25,who dey cook this kind scenting stew on a sunday morning abeg im hungry oh na to carry plate go my neighbor door remain,negative
26,don eazi if you nor check my entry baba i go cry o i nor too get followers so e nor dey top entry as par views but its one of the top videos as par quality baba check am you go like am,negative
27,wey man go dey see bear like say e dey pepper soup joint i no do,negative
28,e be like say dem don curse these guys o,negative
29,i literally feel sick to my tummy and i dont even feel like doing anything today but im on the street oof lagos hustlingif tomorrow i buy a housecar and any fool come out to say na runs she dey do na just know that god will punish you na dog go chop ur mouth,negative
30,mtn dey mad dem don turn scammers they re just sucking our mb anyhow like when mosquitoe suck blood,negative
31,me wey stop to dey watch after st half the season is over for me thank u to think i was planning to spend money to come to watch a match this year at d emirates na this rubbish i go come watch,negative
32,people wey dey lead us dey forge certificates up and dan abeg who certificate help gimme the money,negative
33,forget fine boy in a suit and tie shit don catch you for inside traffic before and the thing be like say e go dey watery,negative
34,please help me call that angel in charge of relationshipslove affairs e be like say dem comot my name for list,negative
35,see me see wàhálà ó na so these empty agolo go dey spread stupid rumour on top fb now theyre bringing it here the whey go strike una ehn,negative
36,shop owners need to know how to relate with customers me good morning sir i came to you store to get a cord yesterday night but the cord is bad shop owner ehn go there and change it now ends the call na my money i take u na se u dey mad ni,negative
37,oga don let me cook indomie like yoruba person now na only pepper i dey chow so with tears in my eyes,negative
38,i am really sorry i know i am a disappointment i know all the health benefits that u av alws bn preaching even me im not proud of this but tonight na me and dis ebaa oo,negative
39,this overnight knacks pack topic dey remind me of bb of years ago lmao e get babe wey threaten soak my guy shirt and jean inside water make e no run,negative
40,i am tired of not having constant power supply im tired of the insecurities im tired of our leaders not doing the right thing im tired of the selfishness and mans inhumanity to man im tired of saying e go better im tired of being tired,negative
41,if i see these kain pictures i go just dey pity potential babe im only fine like once in two months and na for night my beauty dey come out,negative
42,you sabi the thing come dey tally your scores boys go dey find spreadsheet to know where hope dey or the number of resitrepeating students,negative
43,my mention my following dis evening my phone sef dey freezelet me tk a break so d phone can rest ill be backim super happy,negative
44,in my area my mama say we don stop dey chop meat for house,negative
45,abeg where una dey see love now,negative
46,e b like i chop jazz inside this man vegetable soup because wetin b this feeling,negative
47,this one don wash hand comot for anything wey concern heavenly race,negative
48,hunger wan kee me now you con dey tweet this kind thing,negative
49,nyesom wike is this rochas okorocha is that apc is this pdp is that lori iro na people wey dey fight dirtyto death because of them i pity pass,negative
50,lmao i just remembered how a girl slapped me in secondary school after night prep i turned the second cheek to her so she can slap it as per the bible says if someone slaps you turn the second cheek deep down na lie oooo i no sabi fight na why,negative
51,you dey mad kepa wey no even play anything werner wey dey miss like mumu what is a kovacic,negative
52,sneakers fc if una lose make una no come online ooo e be like sey these ninjas mean business o stationhead faceoff,negative
53,i think its high time i stop using mtn i can sub in peace shen e shiere ni how una dey chop datauna dey mad,negative
54,imagine make olopa dey banter me dem no even care about my mental health say i go fit drive reach house or make them escort me,negative
55,these ones don comot the remaining naira wey dey my account nice one sapa nice one,negative
56,all this our babalawo just useless if na to do ritual now boom dem don see head awon werey,negative
57,i don finally comot my hand from anything wey concern love the last girl wey i treat like egg them don boil am chop ‍️,negative
58,who are the students that voted for this one abi na selected voting dem do cos im sure no reasonable students would vote for a yrs old man as president of nans i weep for this country no hope of getting better youths are leaders of tomorrow my foot,negative
59,peruzzi some people dey use charm for you o dem go just ask send me money gbam you don ask for aza but me i go write epistle till tomorrow shishi ion go see is it well,negative
60,na this kind wan go bite off your penis when una don reconcile when she dey give you bj,negative
61,dis is so unfair and ridiculous plsss find a solution fr abeg dis is nt getting funny agn owho does dis nw,negative
62,but na true na nobody don invite me for turn up,negative
63,jetawo sef dey call me boss why you dey follow them whine me like this,negative
64,devil won punish airtel dis night and dem no wont make i download the finish u dey see dem abi,negative
65,i just dey argue about the hxh ish i no like dubem e dey slander my black clover,negative
66,ill probably have sex with my partner for years before giving birth to any attention seeking rascals e get as e go take sweet reach e go enter years️ oddyandoddreamyflow state lucid dreaming‍️,negative
67,broke people like us no be us dey rush airtel na dem dey rush us,negative
68,twitter friends abeg make una dey useful for once i need k frm una if you knw you love me buzz me abeg be a good citizen please help the needy,negative
69,aa like us no dey select genotype na dem dey rush us,negative
70,lol na their mumu dey make am sweet na we need them to die na,negative
71,hopefully i get my request treated by tomorrow i was damn busy didnt have time to eat shuffling between marina and iganmu like times and na una processes we dey digitize ooo‍️,negative
72,pastors dey kill each other because of of church we wey no dey gree go church we never commot hair for person body before una wey suppose help dey kill unasef just imagine say as jesus run shows finish go back him papa house the first disciples kee each other finish,negative
73,this lodge and jehovah witness ehn na so i enter their hand immediately i opened my door like sey na me dem dey wait for na only my lodge dey futa ni,negative
74,oluwa wetin dey deteriorate wetin dey sofun daanu i cant make feel my hends,negative
75,its not even for delivery o we go do some personal stuff but your bros wike don practically remove bus stops form where dem dey before ‍️,negative
76,see when dis mumu generator dey come shut down when i never save dis work ah go start all over,negative
77,na wa oh because you offered me sex and i said im not interested you decide to go around telling all my friends that im uselessladies is this how you guys do now‍️,negative
78,this weather should pick a struggle please if na hot make e hot if na cold make e cold which one is heat and cold together,negative
79,im looking for valantine too oh make e no be like say i dev vex,negative
80,before i took this picture ehn the kind of run i did anyway who don fine don fine im still your surest plug for quality bedsheets and duvets made from the finest cotton quality for your kids and you come and patronize me today and testify,negative
81,thank god for that password wey lasu put for lidc you go just dey cry your cry for house your mama go dey ask wetin happen you go just say you dey meditate na only you know wetin do you,negative
82,ur last year bday lol pls no dull us dis year my wife don dey ask me fr location already,negative
83,this wizkid and ciara turn on the lights mash up is the most amazing collaboration that never happened magic voices baba oya still give us the alicia keys joint na wetin dey occur sef,negative
84,me sef no dey house na been outta here for a while too glad to be back here though i missed everybody,negative
85,na so nnamchi them wan take kill us we no want algorithm una wey sabi book go dey oppress studiocode people like us of = of = of = of = ️ i use calculator for the addition sha,negative
86,dey pain me reach bones say anytime i talk with my cousins or friends from benin city dem go chop bini like cabin biscuits and ill be replying with dirty english who do me dis thing self,negative
87,just tiri days into the kind of lies i dey see on this don dey off me,negative
88,na man utd women own dey vex me pass like when una start,negative
89,na you literally dey on top my tl dey sweat on davido matter since guy focus on your idol nau or sake of he no get hit for like two years now,negative
90,god i hate this kind of thing u go dey explain a character in a show or why u like a certain music and u will see how they start judging u e dey pain wallahi,negative
91,i dey try i just wrap myself like moi moi for bed here i dey get severe heart burn and belle dey pain me e dey hot from my chest to my belle god i beg,negative
92,the sun wey dey beat me like this eh i don black,negative
93,the comments says it all na wa for that woman and the guy wey him talk to like that na my guy,negative
94,omo i don chop press phone taya hungry again and this lowbed never bring these machines come i don taya here na,negative
95,omo sent me vn ni sha thank god im alone in store see me blushing and smiling momma so fine she still con get sweet voice weh fit make man god bless you maam,negative
96,baba god wen now early momo monday morning person don see woman dey sing song of praise ontop him head,negative
97,listening to chidinmas im wonderingna wa ohna so we no go dey get banging tunes again oh im happy for her new pursuit shagod bless her tremendously,negative
98,people dey foam for mouth dem no wan go ye into the world again ni,negative
99,but why e dey shine eyes like that e nọ plan pay,negative
100,na wa ooooo so una really wan see convulsing cumming lady hellfire go quick full like jesus said,negative
101,dis mfs are milking us dry mehn imagine decoder wey neva reach mnths oooo dis pipu they cheat us ooo normally i shud be given a one na heavy thunder go visit dem soon awon ole,negative
102,lol e sure me say na mins hold up be that abeg make dem come lagos come see hrs traffic,negative
103,my dear e fit be oooo cos that year i de confused,negative
104,team wey i carry straight win don dey lose,negative
105,why havent i been lucky enough to get credited as regards this e dey pain me gaan we wey need the money gangan,negative
106,wetin den use do head self wey i no use biko tell me not even a giveaway won since day break what is my offense,negative
107,haaa mogbe ‍️‍️‍️ tried to reach out to know wat i did to fi sha mi ni blocking pfffttt no response i dey my dey na so my paadi yan mi say my blocker say i dey disturb am and na why ti mo shey gba blocking person wey i no ask,negative
108,a lot is happening but my country case is worst oh corona pipeline explosion boko haram nepa wahala dey one side all dey can do is to celebrate the removal of naira from fuel ️ lord na who dey do us,negative
109,jack i am tired of deleting tweet cause of small error o ki lo de na and you too sebi you know what should be there right fit it in and stop stressing me elizabeth ko lo bi mi,negative
110,abi na na where those weed smokers dey i dey come hug us ma dey cry for you already,negative
111,e don happen‍️‍️‍️ person wey get jamb exam by am today sars just release am sars don jam am,negative
112,im tired of walking this street without this kind of story na imagine no to do with it sad na so lemme be collecting lesson,negative
113,incase you didnt see the previous tweet i said you can start bringing your clothes for sewing o im out of camp if youre just knowing for the first time im a tailorfashion designer and my brand is please patronize me aswr i no dey disappoint,negative
114,baba watch this video and laugh small i dey reason na wetin person like you fit do,negative
115,this assu sef so somborri canno play with you again just because we beg for small rest e don turn serious thing abeg we no play again we take god beg you to call off this strike its not funny again,negative
116,walahi dis diamond n access bank merger is not making sense to me how n to think am now an access bank customer how dat bank i no dey feel dere service at all there staff always looking boring or not smiling dozie u no try oh my diamond,negative
117,see eh broke die i no fit move until i see your light i cry a river if i fit walahi,negative
118,seriously why dem no dey call me for the dollar rain sef its no fair o,negative
119,never man will call me for hr and its full of insults bants abuses but deep down we know the love real af something we will never trade what is kiss smiley and mwuaah na abeg abeg that boy is foolish,negative
120,a whole vice president is infected with the virus vp wey no dey enter public transport o wey no dey stand for bus stop ha,negative
121,e be like dem dey boil nigeria for heavenheat for delta,negative
122,its hour now beans no wan gree soft instead na burn e kuku dey burn abeg who i offend please forgive me allow my beans to done na i need to chop before i go work,negative
123,i really want to whine him but e fit mute me again make i no dey see his status,negative
124,women no get joy oo dem go vex you na you go still apologize which kind life be that,negative
125,seriously if dangote still dey find money i wonder why i go dey satisfied when i never even get sef good morning sir please kindly help retweet my customers are definitely on your tl please,negative
126,spoil yourself with affordable luxury month is ending tomorrow of your salary wont kee you abeg buy from me na beg i dey beg oo pls if you come across this on your tl rt for me god bless you | asuu | funke akindele | regina daniels | mompha,negative
127,d lyn wey u tok just make me de feel wan kind dizzy,negative
128,when im at home sometimes i tend to forget that i aint browsing with office wifi i go dey stream videos music mtn go just dey smile dey sweep my data,negative
129,if na this oscar award winning actor now i will understand na person way no fit navigate elevator dem dey do like this,negative
130,make my content be my followers will never engage e dey be like say my tweet dey smell to them e go be sha,negative
131,now imagine thinking about sars before wearing a particular cloth drive a car or use a phone thinking this will look too flashy for sars even me wey dey wear suits in d last years sef sars don do me stop and search,negative
132,the pankere wey we dey chop like water then it was like there was blade on it bad thing is as a cool aunt you cant cry ordinarily i suppose sit for floor dey cry like pikin with the kind of pain i felt never again,negative
133,e dey pain me like say na me dey there,negative
134,i don reply so tay sleep don dey catch mei really want to win these thingbut i honestly need this money to pay my suppliers to order new stocksi sell shoes clothes and bagsam in debt pls i still a student,negative
135,sisssss na to dey ontop bed dey collect drip on top drip,negative
136,i no dey carry food play abeg na god name i carry beg you delete your tweet abeg dont be like this its to early on a friday morning na,negative
137,lmafoooooooooooooooooooooo buh tbvh i hate that shit remembered when i was working on a project and my guys gf dey do birthday the mc na our guy omo small thing engr chuks come clean chair for celebrant engr chuks come cut cake na you na money man,negative
138,person way no dey collect nysc allowee again na small thing dey vex am,negative
139,na person preeq dem dey drag like this im here for the violence,negative
140,bro i no get club again i don resign stupid club no fit kill me abeg win trophy you no win sign players you no sign win me k you no win i don taya,negative
141,i dey see them on a steady a certain time one even use shoulder jam me and apologized if dem stop me i dey stop give dem phone to check e be like say dem dey use jazz no say i no get bar,negative
142,na make hin ride last forever be our own prayer make hin reign be like royalty way dem no fit sack no leave no transfer,negative
143,bless my month na boss make i mail you one song na i don already keep your verse since years now o,negative
144,you serious forget awon seniors tooo bad na small remain make i propose to you for hod office when una wan graduate,negative
145,abeg make i go chop my bread and tea again if butter no dey jam go dey if jam no dey sardine go dey yesterday own na two dey inside maybe today own go carry one this life no balance,negative
146,you wan know bg you go know bg when you see bg you wey dey find the pity tell odogwu say we like to party just call me you wan know bg you go know bg when you see bg ahhhhhh please i want to win,negative
147,good evening my fine fine people of the earthi come in peace ️ please dont be scared of patronizing your girl ayamu real and i sell undiluted oils ️️️️️ abeg patronize me make i fit chop nah,negative
148,something is really happening in nigeria certificate wey some people dey struggle to get nah so somebody dey spread az untop smh,negative
149,i pity short guys sha you wan suck brezz your dk go comot from py you wan put am back your mouth go commot from brezz that thing dey pain,negative
150,when babes like una no come toast me na one gardi dey do am na una cause am,negative
151,na like this we go dey dey where is our joy and happiness nigeria lagos nigeria,negative
152,but one invite out like this na bed i go dey dey give excuses upon excuses i will now start complaining i am bored i dont have anywhere to go etc i am broke i dont go out when i am broke is this how ill continue with myself im my own problem,negative
153,my mum can cobalize shaso im on the phone with her me how are you mum im fine im getting ready for my uncles burial your grandad is here o me abeg his talks are long ill call you later mum with a loud voice lisa you dont want to talk to your grandpa,negative
154,what it feels like to love a woman people say im too playful laugh too much unpredictable feisty stubborn wetin i never hear but those i most agree with are intelligent hardworking strong generous and good hearted woman im amazing me sef know,negative
155,in wizkids voice una dey post coffin after my picture because of burial money una forget machala shey nice one,negative
156,one time one of my guy been read hin babe message with one guy and hin babe say i really wish your choking can be firmer and you spank me harder my guy wan craze me wey no sabi console come say she suppose dey manage the choking like that na na so cry start,negative
157,people think im okay but within me i know i am not how can a yo beat me at fifa like a thief who stole a phone inside computer village no be say e beat me de pain me na the way him de say stop giving excuses kubi ill be back without mercy,negative
158,people are wicked sha person wey tell me say love na scam don propose to woman and me i still dey float,negative
159,omo today i say make i enter market to get some food stuffs cos its been a while i cooked and i was flabbergasted by how prices of food stuffs has skyrocketed na so the girl wey dey sell begin laugh me say bros be like e don tey when u enter market o,negative
160,they will always bring up a different story since dem dey play us like a soccer game apcpdp and every goddamn political parties in nigeria are all the same na their name different the monsters you made don come back to haunt you,negative
161,wetin baba talk self koyemi well im not even surprised but i dey reason say shey na inside movie alone karma dey god shey na like this we go dey dey not even a word on peaceful harmless protesters that were killed wtf,negative
162,this nigeria we no dey chop food na sweet we dey lick,negative
163,e don tey wey fkabudu block me now im feeling like a bad person seeing all the good shes doing,negative
164,person wey tell me say love na scam don pick date for introduction ‍️ this life ehehe no follow people mouth,negative
165,omo the poor girl been wan follow am die oh dear future husband dont try this abeg i dont have tolerance for such situations my bp fit over rise,negative
166,e be like say na to disconnect my light and go buy generator oohow can nepa bring bill for a room self con monthly shey una dey ment ni,negative
167,i stopped at seconds alaye aye e de ma baje ni awon wo ni children e abi desmond think say na film we dey act ni,negative
168,please i want to sub na since morning service temporarily unavailable na hotspot person on for me so please na i want to sub and work the hotspot wont be on forever na whats happening,negative
169,nawa o no be to dey hide phone or to dey dress like poor person again now na nyash we go dey hide godforbid this stupid sars guys im heavy on this thing now i dey go protest today,negative
170,be like that thing wey dem dey use kill fly with electric shock,negative
171,make dem no near me tommorow oh cause walahi i go commot person teeth and the weyrey dey smile with me today oh,negative
172,abeg make una buy perfume na from very cheap make i fit see money continue this protest ejor abeg edakun make una help me oh girl is super broke,negative
173,be like say everything na simulation make dem wake us up say dem no kill anybody and there was no rioting by hoodlums and our government actually did the simple things that we requested,negative
174,god send helpers to me dis new weekcant be eating like dis im in ur hands oh lord,negative
175,ofe owerri with a difference made with goatmeat pomo snail cowleg smoked catfish smoked panla stop killing those that are patronizing me na person wey dey alive dey chop i deliver to anywhere in lagos,negative
176,i should get mojs gift to her and pay for soup o but to comot for this room na die i don tire,negative
177,fine boys like us dem think sey we get babe so dem no dey rush us,negative
178,as dem dey beat chelsea e dey sweet me for body,negative
179,na the problem with attending day school be dat you never chop experience hope theyve sworn you in,negative
180,which kind wahala be this one na abi una dey plan us,negative
181,bro na sars office u de drive go why you de sweat like this abii make we give u oga sega number,negative
182,oga common sense use your common sense wen talking because every strong house starts from the foundationwe had yrs of bad governance and terrible looting of fundsyou people for yrs didnt do any betterall of una na the same thing so kindly shut up there,negative
183,they want to increase vat by to pay minimum wage you see that tradermoni wey una collect una go vomit am back oh my nigeria the rich gets richer the poor gets screwed,negative
184,abeg oooo epp me beg dem we no get transformer na highlight i gast watch,neutral
185,i no blame you na rochas i blame still better than wike wey dey carry machete dey give press conference abeg no commot on saturday oo make em no kee u cos u never settle me and i go cry small,negative
186,u follow me i followed backin less than mins u unfollowed me n u think u are sharp u must be mad una mata don tire me dont bother following if u wont stay as a follower thank you,negative
187,lol abeg no vex na play i dey,negative
188,i dey inside church guy i just happy say dis cwo woman no sabi read,negative
189,lmaoooooooooooooooo just give us the handouts we sef wan be like people wey get sense,negative
190,saga maria wan marry you you dey follow sunita up and down like say she lost dem don use indian jazz for my boy o,negative
191,dey do great link up play like say na wetin i go chop,negative
192,e no dey go wellbut i need it to calm my nervesi dey boil this chelsea team no strong like that oooo,negative
193,why e be say any club wey i support dey collect piping why,negative
194,your prediction pure o abeg e be like say you fit see my future,negative
195,dear kings i no go talk say make una no marry breast and bum bum o but try marry brain join o dear queens i no go talk say make una no marry physique and preeq o but try marry purpose join o e get why o ire oooo‍️,negative
196,the thing dey go round e be like say them dey serve amon a platter these days,negative
197,sometimes i dont like the fact that im not outspoken beyen beyen na last minute i dey always change am for people,negative
198,oluwa pick my call na omo i dn call and pray now na social media i wan call ooo god no go come from heaven ooo na man go run am for e fellow man,negative
199,omo una no de play ball for una estate again i don fat,negative
200,abeg i no dey see your emoji i no get good phone,negative
201,m calling my producers de act like de dont see d calls its later de will want to start doing rush hour for someone,negative
202,planning a wedding na stress weve been on style since morning we finally decided next thing the bride wee say is make una ready to wear girdle oo cos belle must enter inside how rudee na to stop to swallow eba till april,negative
203,i ask this guy can you make this shoe shoe maker oga i fit run am na small work i ask him again you sure say you fit do am shoe maker ahh oga u dey doubt me i go shock you now see truly dis mad man has shocked me,negative
204,see person pikin dey ask me how to change school email password me wey forget my school email address cant even remember d way it looks like,negative
205,na true you talk baba but the thing be say if you stay indoor hunger go kill person u go outside corona go kill person either way na die na god go help person for this great dilemmacoz as take dey real na so dey real me self dey feel am now,negative
206,na alert i want ooo abeg coz who no go no go know ooo hunger dey kill too yhemu anything at all i go manage am even if na kalert alert alert and please can someone tell ncdc to stop with the message my fone don full while my belle still dey empty,negative
207,all the fine fine girls wey dey diz world my eyes no see dem to date na man im crying in egbira,negative
208,football don start again like this one game don dey cut my ticket they cant even do good welcome back for me,negative
209,girls dey no no under this thread but na them dey help am follow client talk,negative
210,today fasting no easy o e be like sey na in we dey do today,negative
211,god have mercy youre cute even gap toothed na waa o am married abeg make una no come for me o just admiring gods curious art in human flesh,negative
212,dem no dey give person food for dream again o tinz don hard,negative
213,exam na school disease uj students are highly contagious right now abeg make exams no be part of school na wetin una think,negative
214,lol na so e pain you lowlife pls caput quietly abeg dont smell here,negative
215,una wan kill man city bros make una calm down na wetin happen self i greet you bros,negative
216,i dey complain sey i no get blood for body light kan dey shock me again life what is this naa,negative
217,reno de disappoint mi sha baba use style beg say na e no knoe say na her,negative
218,peruzzi too sabi abeg the guy dy sing e dy sung e dy sunging finally a fan of peruzzi,negative
219,ermmm ekaale nigerian time oo pliks i don watch una video tire give me my battery oo plus we do not deserve you guys again the videos too dey short fà make it longer oo teinz ‍️‍️,negative
220,where dem see this dj he is dulling usthe barber shop down my street sef dey blast better gbedu pass am,negative
221,which kin heat be dis man cant go bak to sleep like this abeg wia dem dey sell fuel early momo like dis,negative
222,im fine thanks for reading na lie o im not fine please call me im experiencing heartbreak for the first time this year god why me,negative
223,im not even exaggerating na big ass fit kill me inside this life like wtf why why i cant resist,negative
224,my sweet sixteen she leave me go married years old before before she talk too much she told me shell never let go now she want a man like dangote she no go stay if the money no dey she no wan follow small boys dey play she no wan follow small boys dey wait,negative
225,you no hear wetin malaria dey do us bah na proud you hear,negative
226,~ ifu wey dey down bottles of legend in the house and mama no dey shake guy fear short girls with muscles na woman like that dey beat man hands down if them allow her slap ahneeka that day he neck fit shift,negative
227,shebi na teams wey dey perform well wey fans go siddon compose viral club anthem imagine the entire stadium roaring that song as liverpool ripped city apart home and away wow united cant even fill old trafford anymore wetin una want make we sing about,negative
228,the kind waka wey we waka today on top house ehn,negative
229,site supervisor e no good o na the site money u give me that day wey i save i wam sharply withdraw like this make i no kill myself,negative
230,this my neighbor don on hin generator again i no go fit sleep again,negative
231,lmao im thereabout but e be like say fat and big belle don make me they look like gbemi,negative
232,i swear thats exactly what im worried about tbh questions questions that booklet na like pages na haha nobody can tension me o,negative
233,seen not sure what shes doing thoughe be like say she wan become snake,negative
234,because say i no get money i tell you make we busterines you no gree comot pant,negative
235,can you just shut up abeg like shat up sheybi na your pikin them burn you for her mouth dey yarn okoto like this,negative
236,e fit be cow i carry takeaway when they give me price i was like huh what i chop,negative
237,na chelsea win na arsenal fan dey power drunk,negative
238,sum ppl are actually lik mc oluomo on dis twitterdey av d remote control of all d agberos on dis streetwen dey tel dem to attack or notdey are d ones commanding dem naw to stop attackin ighaloiheanacho nd our refereend d attack wil stopcum fo dis ppl ur own risk,negative
239,im telling you some of my group friends male majorly were saying she might actually love the man and that love is sometimes not enough i dragged it with em so tey dem tire for my case,negative
240,lol do you know some of your other stuffs have been before you got them or even the fast food or snacks you get sef maybe person don scratch yansh before dem carry the bread enter nylon,negative
241,im not even looking for any female right now i get mama wey dey gimme love lord where is the mula,negative
242,hungary win or draw don bin grand audit na hunger go kill una entire nation o,negative
243,remember wen am in primary school my teacher use to teach me a song theres fire on the mounting run run run na naw i notice that song oo as nigeria day na ritual go help you oo,negative
244,this ajah traffic no just get joy sha na traffic go return the stress wey the pamper commot before i even reach house,negative
245,please if you no sabi where you dey go no carry aboki bike you will suffer i repeat you go suffer e better make you trek and dey ask people for road this aboki bike man show me shege today,negative
246,my g to me on the phone just now jide e be like say na only me and you remain for this lagos o everybody don move i for laugh but that shit really aint funny,negative
247,closed mouth is a closed destiny o my dear talk true o you fit see your future husband for here o me i kuku wan chop rice,negative
248,onile all those super mario coins you no allow us chop that year i hope say you e don turn millions for you today,negative
249,my first business crashed because of this size wahala i saw this halfpolo tshirt and loved it i ordered one for myself to feel the quality i got it and it was nice i ordered for another pieces of different sizes uncle na childrens cloth dem send for me premium tears,negative
250,passed nobody bring new same i de get hope say we still de new year week don end hmmm on this note i rest my case,negative
251,akporsa beg tlk trueif wnjaarku na ur brodau go stll allw amdey speak engradiobc we im brodas wen write petitionbrila,negative
252,e fit cos conflict unto say why the man gats rescue the woman say the man dey try talk say the woman dey weak next thing the two kingdoms go get issues and like that hatred go start,negative
253,i sha no understand my ig‍️ i dey see plenty followers for my tl but the number of ffws dey reduce e dey pain me,negative
254,so edo pple una don carry una leg come out see una for cnn trafficking ur pple,negative
255,e don reach my own u wan come change format,negative
256,wetin dey happen na everywhere just dry shey mazi don carry all di drama go ni,negative
257,bro i swear i feel very uncomfortable wen they call me sir for my mind i go de say i hope say dis man no say i b small boy or mayb my voice de deceive them,negative
258,yu wey don get space for thr rm up bunk nigga pls contact yabaleft asap dat my prayers wud be answered yes,negative
259,these days to dey comot no dey too hungry me like that again i am living such a boring life,negative
260,no light in citec gwarinpa please epp e be like e don dey master una sha,negative
261,this heat and no light since morning god na your hand e de now oh,negative
262,me sef shock even people wey dey this entire world no pass billion what is the reach of dstv again lol,negative
263,tried of my cso wakes pass role cant wait to go home been one of the longest day in my life as person never make man no fit sidon look maya ikorodu,negative
264,wetin bro chimezie go do he don cry tire sotey e eye come swell up like say boil catch am him dey vex for aka,negative
265,lmao dem dey mad na who born dem,negative
266,most def you will get tired of his points sef,negative
267,who baba please chop pepper oo e be like say u don high oo sevilla beat me bawo,negative
268,i dey complain say funds no dey you go root this post out how helper wan help me like this,negative
269,e suppose shoot seun,negative
270,na demo o i dey overleverage steady the losing trades dey vex me,negative
271,bro dont do this to us,negative
272,imagine say you cast for lagos omo e don be,negative
273,ashlux cap wey come be k unko make u come enter bike breezz carry am enter canal,negative
274,are nengi and kidd dating too una globe people like to insert una mouth for matter wey no concern una if we come for baby elephant now you people will start crying,negative
275,you sef dey act like depe person wey dey collect choc from mary and martha no go don sabi them,negative
276,these girls don collect all my money today which kain wahala i enter like this,negative
277,abeg i nor do wahz dis na,negative
278,when ure eating all kinds of meat and then ur mind is like chop am ochop am wellasna sit ur belle go suffer when sit up time don reach,negative
279,i no fit ever forget tom ford wey i buy k wey smell like say them mix face powder with water carry gimme,negative
280,like play like play eric don die he carry that powerful voice go like that na wa ooooo what a sad night im so broken rip eric,negative
281,people wey get girlfriend dey here dey do video call and then theres me,negative
282,come u this child leave me alone na na u fess snap person pishure na bcos of this thing i dey see family members run so,negative
283,why mama dey para she sef suppose dn leave street make she sempe,negative
284,lmfaoo this nurse doesnt know im mad dey slow am i go dey increase am,negative
285,my crush no dey reason me again oluwa wetin dey occur,negative
286,we decided to help dia life and give dem better music na arrest dem dey arrest us uganda will suffer for yrs,negative
287,didnt i say itmo ti unfollow e na man wey wan sell fine gate,negative
288,facebook na worst place to be doing advertising on it so many dumb questions wetn dey vex me pass say them go see your price on a product yet them go dey price the thing as if na meat them won buy god im stressed,negative
289,what kind of dark joke is this this night ehn abeg its past midnight na now ghosts dey waka o,negative
290,lol baba dey change squad like say na friendly b every game im tired,negative
291,my brother we don forgive you but we cannot forget argh you sef reason am bro e dey pain me sef like this,negative
292,na wetin samson bin dey think be that before him find out say she don use him head play gg and ov,negative
